model,Accuracy,Precision,Recall,F1,AUC,MCC,Threshold,Dev_Accuracy,Dev_MCC,Dev_F1
Improved_GradientBoosting,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.6774891774891775,0.4479075736395105,0.6300000000000001,0.7142857142857143,0.3408249054303634,0.2857142857142857
Improved_SoftVotingEnsemble,0.7659574468085106,0.8,0.2857142857142857,0.42105263157894735,0.7272727272727273,0.37883611319363125,0.56,0.6571428571428571,0.0815016078203043,0.14285714285714285
Improved_RandomForest,0.723404255319149,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.7207792207792209,0.21056946332494045,0.5100000000000001,0.7142857142857143,0.3408249054303634,0.2857142857142857
Improved_ExtraTrees,0.7021276595744681,0.5,0.5714285714285714,0.5333333333333333,0.7283549783549783,0.3175278055155488,0.30000000000000004,0.6857142857142857,0.31677613017944467,0.56
Improved_SVC_RBF,0.6808510638297872,0.0,0.0,0.0,0.7792207792207793,-0.0960346885066768,0.8300000000000002,0.6857142857142857,0.2374290399669085,0.15384615384615385
Improved_LogisticRegression,0.6170212765957447,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.6818181818181819,0.2653470548913146,0.07,0.5714285714285714,0.14108102374845288,0.4827586206896552
