model,Precision,Recall,F1,Accuracy,AUC,MCC,Threshold,Threshold_Metric,Dev_Accuracy,Dev_MCC,Dev_F1,TN,FP,FN,TP
LogisticRegression,0.5,0.7857142857142857,0.6111111111111112,0.7021276595744681,0.777056277056277,0.4146139914483855,0.08,accuracy,0.6,0.1474419561548971,0.4615384615384615,22,11,3,11
RandomForestClf,0.3888888888888889,0.5,0.4375,0.6170212765957447,0.7023809523809524,0.156795821874639,0.29,accuracy,0.6857142857142857,0.2889602459083516,0.5217391304347826,22,11,7,7
ExtraTreesClf,0.3333333333333333,0.5714285714285714,0.4210526315789473,0.5319148936170213,0.6753246753246753,0.0792080760869595,0.27,accuracy,0.6857142857142857,0.3167761301794446,0.56,17,16,6,8
GradientBoostingClf,0.8571428571428571,0.4285714285714285,0.5714285714285714,0.8085106382978723,0.7965367965367965,0.5115850204490008,0.6400000000000001,accuracy,0.6857142857142857,0.2374290399669085,0.1538461538461538,32,1,8,6
GradientBoostingClf_Accuracy,1.0,0.4285714285714285,0.6,0.8297872340425532,0.79004329004329,0.5873225137789608,0.6200000000000001,accuracy,0.6857142857142857,0.2374290399669085,0.1538461538461538,33,0,8,6
SVC_RBF,0.5,0.0714285714285714,0.125,0.7021276595744681,0.7294372294372294,0.0931775653366124,0.37,accuracy,0.6857142857142857,0.2374290399669085,0.1538461538461538,32,1,13,1
Hybrid_GB_PHQ_Override,1.0,0.5,0.6666666666666666,0.851063829787234,0.79004329004329,0.6422616289332564,0.62,accuracy+phq_override,0.6285714285714286,-0.0061434148397873,0.1333333333333333,33,0,7,7
RecallOptimized_Logistic_RF_Override,0.5217391304347826,0.8571428571428571,0.6486486486486487,0.723404255319149,0.777056277056277,0.4792088603261054,0.08,recall+rf_override,0.6,0.1829719585206481,0.5,22,11,2,12
F1Optimized_Logistic_AND_GB,0.6666666666666666,0.8571428571428571,0.75,0.8297872340425532,0.7705627705627706,0.6353285249985376,0.04,f1_logistic_and_gb,,,,27,6,2,12
