model,MAE,RMSE,R2
LinearRegression,6.810373098565756,8.64529560232342,-0.8229746658629964
ElasticNet,5.664032871082654,7.61950101326756,-0.4160350419776133
RandomForestReg,5.134255319148935,6.108826714663564,0.08980058850808226
DeepMLP,8.094839096069336,22.640693743425658,-11.502601623535156
