split,rows,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP
val,388,0.8195876288659794,0.8908045977011494,0.7524271844660194,0.8157894736842105,0.9027525872186066,0.6502553947093885,163,19,51,155
test,388,0.8195876288659794,0.8908045977011494,0.7524271844660194,0.8157894736842105,0.9027525872186066,0.6502553947093885,163,19,51,155
