model,threshold,Accuracy,Precision,Recall,F1,MCC,AUC,TN,FP,FN,TP
LogisticRegression,0.01,0.5531914893617021,0.3870967741935484,0.8571428571428571,0.5333333333333333,0.2715698336646141,0.777056277056277,14,19,2,12
LogisticRegression,0.02,0.574468085106383,0.4,0.8571428571428571,0.5454545454545454,0.2966582402960068,0.777056277056277,15,18,2,12
LogisticRegression,0.03,0.6382978723404256,0.4444444444444444,0.8571428571428571,0.5853658536585366,0.37238748458083104,0.777056277056277,18,15,2,12
LogisticRegression,0.04,0.7021276595744681,0.5,0.8571428571428571,0.631578947368421,0.4514860336956696,0.777056277056277,21,12,2,12
LogisticRegression,0.05,0.7021276595744681,0.5,0.8571428571428571,0.631578947368421,0.4514860336956696,0.777056277056277,21,12,2,12
LogisticRegression,0.06,0.723404255319149,0.5217391304347826,0.8571428571428571,0.6486486486486487,0.47920886032610543,0.777056277056277,22,11,2,12
LogisticRegression,0.07,0.7021276595744681,0.5,0.7857142857142857,0.6111111111111112,0.4146139914483855,0.777056277056277,22,11,3,11
LogisticRegression,0.08,0.7021276595744681,0.5,0.7857142857142857,0.6111111111111112,0.4146139914483855,0.777056277056277,22,11,3,11
LogisticRegression,0.09,0.7446808510638298,0.55,0.7857142857142857,0.6470588235294118,0.4744937303529944,0.777056277056277,24,9,3,11
LogisticRegression,0.1,0.7446808510638298,0.55,0.7857142857142857,0.6470588235294118,0.4744937303529944,0.777056277056277,24,9,3,11
LogisticRegression,0.11,0.7446808510638298,0.55,0.7857142857142857,0.6470588235294118,0.4744937303529944,0.777056277056277,24,9,3,11
LogisticRegression,0.12,0.7446808510638298,0.55,0.7857142857142857,0.6470588235294118,0.4744937303529944,0.777056277056277,24,9,3,11
LogisticRegression,0.13,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.777056277056277,25,8,4,10
LogisticRegression,0.14,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.777056277056277,25,8,4,10
LogisticRegression,0.15,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.777056277056277,25,8,4,10
LogisticRegression,0.16,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.17,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.18,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.19,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.2,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.21,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.777056277056277,26,7,4,10
LogisticRegression,0.22,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.23,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.24,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.25,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.26,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.27,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.777056277056277,26,7,5,9
LogisticRegression,0.28,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.29,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.3,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.31,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.32,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.33,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.34,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.35000000000000003,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.36,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.37,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.38,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.39,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.4,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.41000000000000003,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.42,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.43,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.44,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.45,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.46,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.47000000000000003,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.48,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.49,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.5,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.51,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.52,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.53,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.54,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.55,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.56,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.5700000000000001,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.58,0.723404255319149,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.352505974077691,0.777056277056277,26,7,6,8
LogisticRegression,0.59,0.7021276595744681,0.5,0.5,0.5,0.2878787878787879,0.777056277056277,26,7,7,7
LogisticRegression,0.6,0.723404255319149,0.5384615384615384,0.5,0.5185185185185185,0.32530086064795,0.777056277056277,27,6,7,7
LogisticRegression,0.61,0.723404255319149,0.5384615384615384,0.5,0.5185185185185185,0.32530086064795,0.777056277056277,27,6,7,7
LogisticRegression,0.62,0.723404255319149,0.5384615384615384,0.5,0.5185185185185185,0.32530086064795,0.777056277056277,27,6,7,7
LogisticRegression,0.63,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.64,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.65,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.66,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.67,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.68,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.6900000000000001,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.7000000000000001,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.71,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.72,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.73,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.74,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.75,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.76,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.77,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.78,0.7446808510638298,0.5833333333333334,0.5,0.5384615384615384,0.3654939925441437,0.777056277056277,28,5,7,7
LogisticRegression,0.79,0.723404255319149,0.5454545454545454,0.42857142857142855,0.48,0.2992549817446631,0.777056277056277,28,5,8,6
LogisticRegression,0.8,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.777056277056277,29,4,8,6
LogisticRegression,0.81,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.777056277056277,29,4,8,6
LogisticRegression,0.8200000000000001,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.777056277056277,29,4,8,6
LogisticRegression,0.8300000000000001,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.777056277056277,29,4,8,6
LogisticRegression,0.84,0.7446808510638298,0.6,0.42857142857142855,0.5,0.34345235180373707,0.777056277056277,29,4,8,6
LogisticRegression,0.85,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.86,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.87,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.88,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.89,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.9,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.91,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.92,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.93,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.9400000000000001,0.7021276595744681,0.5,0.2857142857142857,0.36363636363636365,0.20017752139298778,0.777056277056277,29,4,10,4
LogisticRegression,0.9500000000000001,0.6595744680851063,0.3333333333333333,0.14285714285714285,0.2,0.029662753221159636,0.777056277056277,29,4,12,2
GradientBoostingClf_Accuracy,0.01,0.2978723404255319,0.2978723404255319,1.0,0.45901639344262296,0.0,0.79004329004329,0,33,0,14
GradientBoostingClf_Accuracy,0.02,0.40425531914893614,0.325,0.9285714285714286,0.48148148148148145,0.1417980219722774,0.79004329004329,6,27,1,13
GradientBoostingClf_Accuracy,0.03,0.46808510638297873,0.35135135135135137,0.9285714285714286,0.5098039215686274,0.22493710364610947,0.79004329004329,9,24,1,13
GradientBoostingClf_Accuracy,0.04,0.5319148936170213,0.375,0.8571428571428571,0.5217391304347826,0.24632947586151901,0.79004329004329,13,20,2,12
GradientBoostingClf_Accuracy,0.05,0.5531914893617021,0.3870967741935484,0.8571428571428571,0.5333333333333333,0.2715698336646141,0.79004329004329,14,19,2,12
GradientBoostingClf_Accuracy,0.06,0.5531914893617021,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.22603034062447974,0.79004329004329,15,18,3,11
GradientBoostingClf_Accuracy,0.07,0.5957446808510638,0.4074074074074074,0.7857142857142857,0.5365853658536586,0.278289571810406,0.79004329004329,17,16,3,11
GradientBoostingClf_Accuracy,0.08,0.6808510638297872,0.4782608695652174,0.7857142857142857,0.5945945945945946,0.3861393709239279,0.79004329004329,21,12,3,11
GradientBoostingClf_Accuracy,0.09,0.723404255319149,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.44400468626566963,0.79004329004329,23,10,3,11
GradientBoostingClf_Accuracy,0.1,0.723404255319149,0.5238095238095238,0.7857142857142857,0.6285714285714286,0.44400468626566963,0.79004329004329,23,10,3,11
GradientBoostingClf_Accuracy,0.11,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.12,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.13,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.14,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.15,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.16,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.17,0.7021276595744681,0.5,0.7142857142857143,0.5882352941176471,0.38039581758256935,0.79004329004329,23,10,4,10
GradientBoostingClf_Accuracy,0.18,0.723404255319149,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.41148438901385936,0.79004329004329,24,9,4,10
GradientBoostingClf_Accuracy,0.19,0.723404255319149,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.41148438901385936,0.79004329004329,24,9,4,10
GradientBoostingClf_Accuracy,0.2,0.723404255319149,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.41148438901385936,0.79004329004329,24,9,4,10
GradientBoostingClf_Accuracy,0.21,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.79004329004329,25,8,4,10
GradientBoostingClf_Accuracy,0.22,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.79004329004329,25,8,4,10
GradientBoostingClf_Accuracy,0.23,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.79004329004329,25,8,4,10
GradientBoostingClf_Accuracy,0.24,0.7446808510638298,0.5555555555555556,0.7142857142857143,0.625,0.44391544374897823,0.79004329004329,25,8,4,10
GradientBoostingClf_Accuracy,0.25,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.79004329004329,26,7,4,10
GradientBoostingClf_Accuracy,0.26,0.7659574468085106,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.4779493871435665,0.79004329004329,26,7,4,10
GradientBoostingClf_Accuracy,0.27,0.7446808510638298,0.5625,0.6428571428571429,0.6,0.4157107453789093,0.79004329004329,26,7,5,9
GradientBoostingClf_Accuracy,0.28,0.7659574468085106,0.6,0.6428571428571429,0.6206896551724138,0.4523118824008927,0.79004329004329,27,6,5,9
GradientBoostingClf_Accuracy,0.29,0.7659574468085106,0.6,0.6428571428571429,0.6206896551724138,0.4523118824008927,0.79004329004329,27,6,5,9
GradientBoostingClf_Accuracy,0.3,0.7659574468085106,0.6,0.6428571428571429,0.6206896551724138,0.4523118824008927,0.79004329004329,27,6,5,9
GradientBoostingClf_Accuracy,0.31,0.7659574468085106,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.4293086188143014,0.79004329004329,28,5,6,8
GradientBoostingClf_Accuracy,0.32,0.7872340425531915,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.4721909965787695,0.79004329004329,29,4,6,8
GradientBoostingClf_Accuracy,0.33,0.7872340425531915,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.4721909965787695,0.79004329004329,29,4,6,8
