selection,candidate,weights,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_AUC,Dev_MCC,Dev_TN,Dev_FP,Dev_FN,Dev_TP,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_MCC,Test_TN,Test_FP,Test_FN,Test_TP
best_by_dev,WeightedSoftVoting,GradientBoostingClf:0.125;RandomForestClf:0.250;ExtraTreesClf:0.375;SVC_RBF:0.250,0.31000000000000005,0.7142857142857143,0.6,0.5,0.5454545454545454,0.605072463768116,0.34262414443209643,19,4,6,6,0.8085106382978723,0.6666666666666666,0.7142857142857143,0.6896551724137931,0.7683982683982684,0.5521177907240944,28,5,4,10
best_by_test_diagnostic_only,GradientBoostingClf_Accuracy,GradientBoostingClf_Accuracy,0.6200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.4891304347826087,0.2374290399669085,23,0,11,1,0.8297872340425532,1.0,0.42857142857142855,0.6,0.79004329004329,0.5873225137789608,33,0,8,6
