experiment,feature_dimension,Precision,Recall,F1,Accuracy,AUC,MCC,Threshold,Threshold_Metric,Dev_Accuracy,Dev_MCC,Dev_F1,TN,FP,FN,TP
Text only,768,0.4,0.7142857142857143,0.5128205128205128,0.5957446808510638,0.7077922077922078,0.23805588025744623,0.08000000000000002,accuracy,0.5714285714285714,0.10425720702853739,0.4444444444444444,18,15,4,10
Audio only,153,0.3,0.42857142857142855,0.35294117647058826,0.5319148936170213,0.39069264069264065,0.004004166500869151,0.4000000000000001,accuracy,0.6857142857142857,0.2889602459083516,0.5217391304347826,19,14,8,6
Visual CLNF only,160,0.4,0.2857142857142857,0.3333333333333333,0.6595744680851063,0.6471861471861472,0.11609656962379844,0.56,accuracy,0.6571428571428571,0.1505860615031832,0.3333333333333333,27,6,10,4
Text + Audio,921,0.5,0.7857142857142857,0.6111111111111112,0.7021276595744681,0.7597402597402597,0.4146139914483855,0.12000000000000002,accuracy,0.6571428571428571,0.27031025295064476,0.5384615384615384,22,11,3,11
Text + Audio + Visual CLNF,1081,0.5,0.7857142857142857,0.6111111111111112,0.7021276595744681,0.777056277056277,0.4146139914483855,0.08000000000000002,accuracy,0.6,0.14744195615489714,0.46153846153846156,22,11,3,11
